location,capital,stock,start_month,days
北,20000000,1,1,26
北,100000,0,1,24
北,2000000,0,1,35
中,5000000,0,1,72
北,1000000,0,1,71
中,50000,0,1,56
東,1500000,0,1,53
北,500000,0,1,69
北,800000,0,1,56
北,1000000,0,1,43
中,200000,0,2,27
南,180000,0,2,48
北,300000,0,2,46
中,500000,0,2,38
北,5000000,1,2,47
中,100000,0,2,35
南,3000000,0,2,32
北,3000000,0,2,57
北,100000,0,2,82
北,3000000,0,2,67
北,8750000,1,2,74
北,12500000,1,2,74
北,100000,0,2,66
北,1000000,0,2,50
北,250000,0,2,69
北,6000000,0,2,60
北,100000,0,2,70
中,1000000,0,3,55
北,2000000,1,3,32
北,200000,0,3,35
北,3000000,0,3,44
北,50000,0,3,35
南,3000000,0,3,9
中,3000000,1,1,141
中,3000000,0,1,134
北,4500000,0,1,118
北,2000000,0,1,113
其他,3000000,1,1,99
北,100000,0,2,84
南,1000000,0,2,102
北,100000,0,2,103
中,35000000,1,2,85
北,30000,0,3,78
中,500000,0,3,85
北,1000000,1,3,76
中,1000000,0,3,73
北,24000,0,3,67
北,55000,1,3,51
中,1000000,0,3,43
中,2000000,1,3,44
北,300000,0,4,30
北,500000,0,4,42
北,500000,0,4,16
北,30000,0,1,157
北,500000,0,1,153
北,1000000,0,1,158
北,200000,0,1,154
北,2000000,0,1,161
北,1000000,0,1,156
北,1000000,0,1,159
北,5000000,0,1,158
中,300000,0,1,130
北,100000,0,1,129
北,100000,0,1,154
中,300000,0,1,148
南,500000,0,1,123
北,1200000,0,2,120
中,200000,0,2,112
北,5000000,1,2,124
中,300000,0,2,136
北,250000,0,2,130
北,12250000,1,2,130
中,100000,0,2,114
南,200000,0,2,118
南,100000,0,2,119
北,1000000,0,2,110
北,1500000,0,3,84
南,100000,0,3,104
北,1000000,0,3,109
中,500000,0,3,80
北,3000000,0,3,80
北,3000000,0,3,80
北,1000000,0,3,74
北,5000000,0,3,74
北,1000000,0,3,80
北,1000000,0,3,88
北,3500000,1,3,70
中,200000,0,3,66
中,10000000,1,3,80
北,12680000,0,3,77
南,6000000,0,4,82
北,200000,0,4,77
北,1000000,0,4,48
中,200000,0,4,69
北,3000000,1,4,73
北,2000000,0,4,42
北,6500000,0,4,64
北,1500000,1,4,58
中,500000,0,4,38
北,50000000,1,4,51
南,600000,0,4,59
中,1000000,0,4,37
北,1000000,0,4,62
北,200000,0,4,37
北,5000000,0,4,55
南,30000000,0,5,34
北,500000,0,5,20
北,1000000,0,5,31
北,5000000,1,5,30
北,500000,0,5,41
北,12680000,1,5,20
北,100000,0,5,33
北,300000,0,1,189
北,50000,0,1,191
北,100000,0,1,203
北,280000,0,1,180
中,2000000,0,1,196
北,300000,0,1,186
北,1100000,0,1,180
北,1000000,0,1,189
北,1000000,0,1,184
北,3100000,1,1,198
中,200000,0,1,163
中,2000000,0,1,191
中,1000000,0,1,160
中,500000,0,1,174
北,500000,0,1,163
中,168000,0,1,167
北,50000,0,1,190
北,1000000,0,1,175
北,1000000,0,1,171
北,500000,0,1,161
北,200000,0,1,171
北,500000,0,2,145
北,500000,0,2,160
北,3000000,0,3,121
北,25000000,0,3,119
南,1000000,0,3,115
中,500000,0,3,136
北,3000000,0,3,136
北,6299878,0,3,136
北,1000000,0,3,134
北,2000000,1,3,109
北,5000000,0,3,133
中,100000,0,3,126
南,500000,0,3,123
北,300000,0,3,115
南,200000,0,3,119
中,200000,0,3,125
北,2000000,1,3,104
北,100000,0,3,112
